0101||0|Live horses, asses, mules and hinnies:|||||
||1|Horses:|||||
0101.21.00||2|Purebred breeding animals||Free||Free|
0101.21.00|10|3|Males|No.||||
0101.21.00|20|3|Females|No.||||
0101.29.00||2|Other||Free||20%|
0101.29.00|10|3|Imported for immediate slaughter|No.||||
0101.29.00|90|3|Other|No.||||
0101.30.00|00|1|Asses|No.|6.8%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 4% (KR)|15%|
0101.90||1|Other:|||||
0101.90.30|00|2|Imported for immediate slaughter|No.|Free||Free|
0101.90.40|00|2|Other|No|4.5%|Free (A+,AU,BH,CA,CL,CO,D,E,I IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0102||0|Live bovine animals:|||||
||1|Cattle:|||||
0102.21.00||2|Purebred breeding animals||Free||Free|
||3|Dairy:|||||
0102.21.00|10|4|Male|No.||||
0102.21.00|20|4|Female|No.||||
||3|Other:|||||
0102.21.00|30|4|Male|No.||||
0102.21.00|50|4|Female|No.||||
0102.29||2|Other:|||||
0102.29.20||3|Cows imported specially for dairy purposes||Free||6.6¢/kg|
0102.29.20|11|4|Weighing less than 90 kg each|No. Kg||||
0102.29.20|12|4|Weighing 90 kg or more each|No. Kg.||||
0102.29.40||3|Other||1¢/kg|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.4¢/kg (AU)|5.5¢/kg|
||4|Weighing less than 90 kg each:|||||
0102.29.40|24|5|Male|No. Kg||||
0102.29.40|28|5|Female|No. Kg||||
||4|Weighing 90 kg or more but less than 200 kg each:|||||
0102.29.40|34|5|Male|No. Kg||||
0102.29.40|38|5|Female|No. Kg||||
||4|Weighing 200 kg or more but less than 320 kg each:|||||
0102.29.40|54|5|Male|No. Kg||||
0102.29.40|58|5|Female|No. Kg||||
||4|Weighing 320 kg or more each:|||||
||5|For immediate slaughter:|||||
0102.29.40|62|6|Steers|No. Kg||||
0102.29.40|64|6|Bulls|No. Kg||||
0102.29.40|66|6|Cows|No. Kg||||
0102.29.40|68|6|Heifers|No. Kg||||
||5|For breeding:|||||
0102.29.40|72|6|Male|No. Kg||||
0102.29.40|74|6|Female|No. Kg||||
||5|Other:|||||
0102.29.40|82|6|Male|No. Kg||||
0102.29.40|84|6|Female|No. Kg||||
||1|Buffalo:|||||
0102.31.00||2|Purebred breeding animals||Free||Free|
0102.31.00|10|3|Male|No.||||
0102.31.00|20|3|Female|No.||||
0102.39.00||2|Other||1¢/kg|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.4¢/kg (AU)|5.5¢/kg|
0102.39.00|10|3|Bison|No. Kg||||
||3|Other:|||||
||4|Weighing less than 90 kg each:|||||
